platform,product_id,title,category,brand,price,currency,date,views_7,likes_7,comments_7,shares_7,sales_rank_7,reviews,rating,growth_7,growth_30,url
etsy,etsy_0000,Beauty Product 0 for etsy,Beauty,BrandA,29.6,USD,2025-08-21,,,,,861.0,5390.0,4.52,0.558,-0.019,https://example.com/etsy/0
etsy,etsy_0001,Pet Product 1 for etsy,Pet,BrandB,15.83,USD,2025-08-21,,,,,37195.0,5578.0,4.76,0.562,0.975,https://example.com/etsy/1
tiktok,tiktok_0002,Home Product 2 for tiktok,Home,BrandA,7.3,USD,2025-08-21,797201.0,60235.0,6999.0,2463.0,,,,-0.109,0.03,https://example.com/tiktok/2
etsy,etsy_0003,Gadgets Product 3 for etsy,Gadgets,BrandA,25.17,USD,2025-08-21,,,,,28694.0,6396.0,3.98,0.066,0.801,https://example.com/etsy/3
etsy,etsy_0004,Kitchen Product 4 for etsy,Kitchen,BrandA,14.79,USD,2025-08-21,,,,,2748.0,975.0,3.62,-0.255,0.813,https://example.com/etsy/4
tiktok,tiktok_0005,Beauty Product 5 for tiktok,Beauty,BrandB,30.1,USD,2025-08-21,1387523.0,32051.0,1578.0,3232.0,,,,0.976,0.925,https://example.com/tiktok/5
tiktok,tiktok_0006,Fashion Product 6 for tiktok,Fashion,BrandA,34.38,USD,2025-08-21,359457.0,142199.0,8842.0,2393.0,,,,0.501,0.394,https://example.com/tiktok/6
etsy,etsy_0007,Home Product 7 for etsy,Home,NoBrand,7.01,USD,2025-08-21,,,,,23484.0,1478.0,4.3,0.933,0.012,https://example.com/etsy/7
tiktok,tiktok_0008,Kitchen Product 8 for tiktok,Kitchen,BrandC,30.64,USD,2025-08-21,470337.0,19957.0,1071.0,3491.0,,,,-0.067,0.722,https://example.com/tiktok/8
tiktok,tiktok_0009,Home Product 9 for tiktok,Home,NoBrand,7.97,USD,2025-08-21,999913.0,37565.0,1045.0,6443.0,,,,0.764,0.288,https://example.com/tiktok/9
amazon,amazon_0010,Pet Product 10 for amazon,Pet,BrandB,41.94,USD,2025-08-21,,,,,91388.0,1016.0,4.93,0.951,1.045,https://example.com/amazon/10
tiktok,tiktok_0011,Pet Product 11 for tiktok,Pet,BrandA,40.0,USD,2025-08-21,1407527.0,12685.0,4909.0,6361.0,,,,0.468,-0.046,https://example.com/tiktok/11
tiktok,tiktok_0012,Kitchen Product 12 for tiktok,Kitchen,BrandA,56.54,USD,2025-08-21,1435472.0,49484.0,8056.0,2598.0,,,,0.836,0.058,https://example.com/tiktok/12
amazon,amazon_0013,Pet Product 13 for amazon,Pet,BrandC,6.35,USD,2025-08-21,,,,,5259.0,5618.0,4.47,0.766,1.088,https://example.com/amazon/13
tiktok,tiktok_0014,Gadgets Product 14 for tiktok,Gadgets,NoBrand,10.66,USD,2025-08-21,298998.0,65005.0,6234.0,3129.0,,,,0.981,0.822,https://example.com/tiktok/14
etsy,etsy_0015,Beauty Product 15 for etsy,Beauty,NoBrand,26.85,USD,2025-08-21,,,,,89136.0,4598.0,3.76,0.12,1.013,https://example.com/etsy/15
tiktok,tiktok_0016,Fashion Product 16 for tiktok,Fashion,BrandC,46.17,USD,2025-08-21,34538.0,108566.0,5106.0,6786.0,,,,1.155,1.228,https://example.com/tiktok/16
etsy,etsy_0017,Fashion Product 17 for etsy,Fashion,BrandC,51.47,USD,2025-08-21,,,,,98807.0,6910.0,3.66,-0.335,0.979,https://example.com/etsy/17
etsy,etsy_0018,Home Product 18 for etsy,Home,BrandA,12.99,USD,2025-08-21,,,,,23420.0,1484.0,3.56,1.033,0.556,https://example.com/etsy/18
tiktok,tiktok_0019,Gadgets Product 19 for tiktok,Gadgets,BrandB,41.49,USD,2025-08-21,884371.0,149713.0,7624.0,6404.0,,,,0.257,1.06,https://example.com/tiktok/19
amazon,amazon_0020,Beauty Product 20 for amazon,Beauty,BrandB,20.41,USD,2025-08-21,,,,,62624.0,1722.0,4.45,1.009,0.824,https://example.com/amazon/20
tiktok,tiktok_0021,Kitchen Product 21 for tiktok,Kitchen,BrandC,24.62,USD,2025-08-21,119556.0,3193.0,3677.0,1393.0,,,,1.028,0.671,https://example.com/tiktok/21
amazon,amazon_0022,Gadgets Product 22 for amazon,Gadgets,BrandC,56.87,USD,2025-08-21,,,,,15708.0,5592.0,3.77,-0.224,0.11,https://example.com/amazon/22
tiktok,tiktok_0023,Pet Product 23 for tiktok,Pet,BrandC,32.91,USD,2025-08-21,627075.0,128448.0,5914.0,1312.0,,,,-0.389,0.619,https://example.com/tiktok/23
tiktok,tiktok_0024,Gadgets Product 24 for tiktok,Gadgets,BrandC,32.3,USD,2025-08-21,1848756.0,14045.0,713.0,2028.0,,,,-0.131,0.094,https://example.com/tiktok/24
etsy,etsy_0025,Gadgets Product 25 for etsy,Gadgets,BrandA,41.16,USD,2025-08-21,,,,,54385.0,1853.0,4.95,1.14,0.153,https://example.com/etsy/25
etsy,etsy_0026,Gadgets Product 26 for etsy,Gadgets,BrandB,37.33,USD,2025-08-21,,,,,23665.0,1636.0,3.71,-0.341,0.797,https://example.com/etsy/26
etsy,etsy_0027,Gadgets Product 27 for etsy,Gadgets,BrandB,37.67,USD,2025-08-21,,,,,855.0,5855.0,4.83,-0.017,-0.039,https://example.com/etsy/27
tiktok,tiktok_0028,Kitchen Product 28 for tiktok,Kitchen,NoBrand,36.84,USD,2025-08-21,1293743.0,70967.0,3560.0,232.0,,,,0.191,0.136,https://example.com/tiktok/28
amazon,amazon_0029,Gadgets Product 29 for amazon,Gadgets,BrandB,56.6,USD,2025-08-21,,,,,52084.0,7777.0,4.34,0.457,-0.137,https://example.com/amazon/29
etsy,etsy_0030,Pet Product 30 for etsy,Pet,BrandA,58.62,USD,2025-08-21,,,,,42108.0,4282.0,3.54,-0.335,0.764,https://example.com/etsy/30
tiktok,tiktok_0031,Beauty Product 31 for tiktok,Beauty,BrandC,48.69,USD,2025-08-21,920681.0,35254.0,8388.0,3249.0,,,,0.632,0.014,https://example.com/tiktok/31
amazon,amazon_0032,Pet Product 32 for amazon,Pet,BrandA,49.53,USD,2025-08-21,,,,,71296.0,6694.0,4.89,-0.18,0.314,https://example.com/amazon/32
tiktok,tiktok_0033,Fashion Product 33 for tiktok,Fashion,BrandC,13.15,USD,2025-08-21,1630118.0,22418.0,4111.0,3399.0,,,,0.013,0.888,https://example.com/tiktok/33
